"Gender","Ratio","Occupation"
"Women","5.6","Aircraft Pilots and Flight Engineers"
"Women","5.4","Aircraft Mechanics and Service Technicians"
"Women","7.2","Remote Pilots"
"Women","2.6","MAINTENANCE TECHNICIAN"
"Women","11.6","Aerospace Engineers"
"Women","16.8","Air Traffic Controllers"
"Women","19.7","Dispatchers"
"Women","79.7","Flight Attendants"
"Women","16.7","Airport Managers"
"Men","94.4","Aircraft Pilots and Flight Engineers"
"Men","94.6","Aircraft Mechanics and Service Technicians"
"Men","92.8","Remote Pilots"
"Men","97.4","MAINTENANCE TECHNICIAN"
"Men","88.4","Aerospace Engineers"
"Men","83.2","Air Traffic Controllers"
"Men","80.3","Dispatchers"
"Men","20.3","Flight Attendants"
"Men","83.3","Airport Managers"
